Jones Hall, 40.34638,-74.655825
Laughlin Hall, 40.34641,-74.660378
Lauritzen Hall, 40.343599,-74.658295
Lenz Tennis Center, 40.341507,-74.65453
Lewis Library, 40.346057,-74.652577
Little Hall, 40.34661,-74.659867
Lockhart Hall, 40.346666,-74.661245
Lourie-Love Pavilion, 40.342766,-74.654932
Lowrie House, 40.346331,-74.669273
Maclean House, 40.349078,-74.660216
MacMillan Building, 40.342323,-74.656923
Madison Hall, 40.348515,-74.662249
Magie Apartments, 40.336727,-74.652989
Marx Hall, 40.348057,-74.655551
McCarter Theatre, 40.344107,-74.660511
McCormick Hall, 40.347268,-74.658066
McCosh Hall, 40.348245,-74.656649
McCosh Health Center, 40.346072,-74.655276
McDonnell Hall, 40.345254,-74.652394
Moffett Laboratory, 40.345608,-74.653858
Mudd Library, 40.349599,-74.651983
Murley-Pivirotto Family Tower, 40.343894,-74.658318
Murray Theater, 40.347911,-74.657929
Myslik Field, 40.341867,-74.65416
Nassau Hall, 40.348642,-74.659301
Neuroscience and Psychology Buildings (under construction), 40.342725,-74.65196
New South Building, 40.343206,-74.658844
North Garage, 40.349807,-74.649771
North Hall, 40.344222,-74.658295
Palmer House, 40.348997,-74.664352
Pardee Field, 40.343371,-74.65373
Patton Hall, 40.345269,-74.657373
Peyton Hall, 40.346511,-74.651617
Plummer Field, 40.342668,-74.653022
Poe Field, 40.343388,-74.654675
Princeton Stadium, 40.342402,-74.653767
Princeton Station (Dinky), 40.34328,-74.659393
Princeton University Press, 40.349764,-74.653492
Princeton University Store (114 Nassau Street), 40.34988,-74.659631
Proctor Hall, 40.340423,-74.66536
Prospect Apartments, 40.35006,-74.648387
Prospect Gardens, 40.34665,-74.656531
Prospect House, 40.347025,-74.656557
Pyne Hall, 40.345212,-74.65985
Quadrangle Club, 40.347984,-74.652715
Roberts Stadium, 40.342402,-74.653767
Robertson Hall, 40.348355,-74.65459
Rock Magnetism Laboratory, 40.345023,-74.654932
Scheide Caldwell House, 40.349466,-74.658478
Schultz Laboratory, 40.345286,-74.653927
Scully Hall, 40.344182,-74.654544
Sexton Field, 40.346086,-74.645748
Shea Rowing Center, 40.339455,-74.650702
Sherrerd Hall, 40.34953,-74.652623
South Baker Hall, 40.343449,-74.657906
Spelman Halls, 40.344318,-74.659576
Springdale Clubhouse (26 College Road West), 40.333444,-74.65953
Springdale Golf Course, 40.338956,-74.662185
Stanhope Hall, 40.348641,-74.66001
Stephens Fitness Center, 40.345153,-74.658844
Streicker Bridge, 40.344132,-74.652239
Strubing Field, 40.346986,-74.646542
Terrace Club, 40.347133,-74.653902
Thermal Energy Storage Tank, 40.341188,-74.656852
Thomas Molecular Laboratory, 40.344851,-74.653816
Tiger Inn, 40.34894,-74.652314
Tower Club, 40.347666,-74.653812
U-Store (36 University Place), 40.347018,-74.661595
Upper Strubing Field, 40.347607,-74.647014
Visitor Parking (Lot 21), 40.344631,-74.646199
Visitor Parking (Lot 23), 40.340493,-74.657035
Von Neumann Hall, 40.350526,-74.649055
Wallace Social Science Center, 40.349186,-74.653538
Walker Hall, 40.345529,-74.657014
Weaver Track Stadium, 40.344197,-74.649103
West College, 40.347958,-74.659713
West Garage (Lot 7), 40.341728,-74.65814
West Lodge, 40.339708,-74.666423
Whig Hall, 40.347764,-74.65857
Wilcox Hall, 40.344782,-74.6561
Wilf Hall, 40.344246,-74.655179
Witherspoon Hall, 40.347405,-74.659942
Woolworth Center for Musical Studies, 40.347282,-74.655871
Wright Hall, 40.345681,-74.657563
Wu Hall, 40.344676,-74.656465
Wyman Cottage, 40.339654,-74.666414
Wyman House, 40.340094,-74.665637
